"Title","Author","Shelved","Avg. Rating","Ratings","Year"
"How I Came to Know Fish","Ota Pavel","14","4.06","979","1971"
"The Little Town Where Time Stood Still","Bohumil Hrabal","14","3.93","1157","1974"
"Tales from Two Pockets","Karel Čapek","14","4.11","1699","1929"
"Možnosti milostného románu","Jan Němec","13","3.64","1284","2019"
"Bábovky","Radka Třeštíková","13","3.48","2157","2016"
"Aristokratka ve varu","Evžen Boček","13","3.76","1906","2013"
"Pejsek a kočička","Josef Čapek","13","4.39","1068","1936"
"The Festival of Insignificance","Milan Kundera","13","3.34","17103","2013"
"Hovno hoří","Petr Šabach","13","3.71","1026","1994"
"Král Lávra","Karel Havlíček Borovský","13","3.53","1238","1870"
"Matka","Karel Čapek","13","4.24","1475","1938"
"Houbařka","Viktorie Hanišová","12","4.33","1422","2018"
"Slepá mapa","Alena Mornštajnová","12","4.31","2469","2013"
"Želary","Květa Legátová","12","4.26","471","2001"
"Anežka","Viktorie Hanišová","12","4.17","798","2015"
"Pod sněhem","Petra Soukupová","12","3.93","1119","2015"
"Fimfárum","Jan Werich","12","4.37","856","1963"
"Křest svatého Vladimíra","Karel Havlíček Borovský","12","3.61","612","1855"
"Petrolejové lampy","Jaroslav Havlíček","12","3.85","648","1944"
"Bringing Up Girls in Bohemia","Michal Viewegh","12","3.4","1209","1994"
"The Complete Stories","Franz Kafka","12","4.34","25414","1946"
"In the Penal Colony","Franz Kafka","11","3.96","20958","1919"
"Baletky","Miřenka Čechová","11","4.05","896","2020"
"Rekonstrukce","Viktorie Hanišová","11","3.89","967","2019"
"Probudím se na Šibuji","Anna Cima","11","4.06","1643","2018"
"Už nikdy pěšky po Arménii a Gruzii","Ladislav Zibura","11","4.18","1161","2017"
"Opuštěná společnost. Česká cesta od Masaryka po Babiše","Erik Tabery","11","4.52","1605","2017"
"Jezero","Bianca Bellová","11","3.82","1698","2016"
"The Guinea Pigs","Ludvík Vaculík","11","3.59","499","1970"
"Selský baroko","Jiří Hájíček","11","3.7","820","2005"
"Romance pro křídlovku","František Hrubín","11","3.82","720","1961"
"Noc na Karlštejně","Jaroslav Vrchlický","11","3.69","764","2010"
"Těžká hodina","Jiří Wolker","11","3.55","702","1922"
"Slezské písně","Petr Bezruč","11","3.15","428","1909"
"Nikola Šuhaj loupežník","Ivan Olbracht","11","3.32","403","1933"
"Záhada hlavolamu","Jaroslav Foglar","11","4.39","1275","1941"
"Tyrolské Elegie","Karel Havlíček Borovský","11","3.39","885","1885"
"Dědina","Petra Dvořáková","10","3.88","1096","2018"
"Spaceman of Bohemia","Jaroslav Kalfar","10","3.82","4490","2017"
"Aristokratka na koni","Evžen Boček","10","3.82","1363","2016"
"Mlýn na mumie","Petr Stančík","10","3.97","778","2014"
"Povídky z jedné kapsy","Karel Čapek","10","4.01","1185","1929"
"Letters to Milena","Franz Kafka","10","3.81","11391","1952"
"Katyně","Pavel Kohout","10","3.82","581","1978"
"Oněgin byl Rusák","Irena Dousková","10","4.08","523","2006"
"Memento","Radek John","10","4.01","1850","1987"
"Po nás ať přijde potopa","František Gellner","10","4.06","422","1901"
"Krakatit","Karel Čapek","10","3.72","1707","1922"
"Účastníci zájezdu","Michal Viewegh","10","3.44","637","2001"
"Makropoulos Secret","Karel Čapek","10","4.02","841","1922"
"Mendelssohn is on the Roof","Jiří Weil","10","4.08","1184","1960"
"Prázdniny v Evropě","Ladislav Zibura","9","4.33","959","2019"
"Aristokratka a vlna zločinnosti na zámku Kostka","Evžen Boček","9","3.51","1026","2018"
"Hotýlek","Alena Mornštajnová","9","3.98","1861","2015"
"Malý pražský erotikon","Patrik Hartl","9","3.96","1756","2014"
"The Power of the Powerless","Václav Havel","9","4.23","2451","1978"
"The Republic of Whores","Josef Škvorecký","9","3.71","385","1969"
"A Hunger Artist","Franz Kafka","9","4.11","15770","1924"
"Sedmikostelí","Miloš Urban","9","3.36","767","1999"
"Občanský průkaz","Petr Šabach","9","3.92","608","2006"
"Mr. Theodore Mundstock","Ladislav Fuks","9","4.08","596","1963"
"Staré pověsti české","Alois Jirásek","9","3.48","795","1894"
"Divá Bára","Božena Němcová","9","3.43","1020","1856"
"K moři","Petra Soukupová","9","3.9","914","2007"
"Sekyra","Ludvík Vaculík","9","3.58","207","1966"
"Audience","Václav Havel","9","3.81","926","1978"
"Svědectví o životě v KLDR","Nina Špitálníková","8","4.79","2075","2020"
"Zuzanin dech","Jakuba Katalpa","8","4.49","1335","2020"
"Faja","Petra Stehlíková","8","4.62","1502","2017"
"Czuły barbarzyńca","Bohumil Hrabal","8","4.12","828","1973"
"Naslouchač","Petra Stehlíková","8","4.58","2002","2016"
"Nejlepší pro všechny","Petra Soukupová","8","4.29","947","2017"
"Prvok, Šampón, Tečka a Karel","Patrik Hartl","8","3.77","1940","2012"
"Klapzubova jedenáctka","Eduard Bass","8","3.52","378","1922"
"Indiánský běh","Tereza Boučková","8","3.82","133","1991"
"Pálenka","Matěj Hořava","8","4.15","447","2014"
"Němci","Jakuba Katalpa","8","4.17","1006","2012"
"Román pro ženy","Michal Viewegh","8","3.32","689","2001"
"Rybí krev","Jiří Hájíček","8","4.15","1015","2012"
"Černí baroni","Miloslav Švandrlík","8","4.11","306","1991"
"Honzíkova cesta","Bohumil Říha","8","3.75","312","1954"
"Labyrint světa a ráj srdce","Jan Amos Komenský","8","3.44","674","1623"
"The Other City","Michal Ajvaz","8","3.71","828","1993"
"Rychlé šípy","Jaroslav Foglar","8","4.46","880","1998"
"The Gardener's Year","Karel Čapek","8","4.08","1159","1929"
"Odcházení","Václav Havel","8","3.79","268","2007"
"Poupátka","Hana Lehečková","7","4.12","528","nan"
"Šikmý kostel 2: románová kronika ztraceného města","Karin Lednická","7","4.69","1242","nan"
"Aristokratka u královského dvora","Evžen Boček","7","3.9","699","2020"
"Raději zešílet v divočině: Setkání s šumavskými samotáři","Aleš Palán","7","4.42","745","2018"
"Heřmánkové údolí","Hana Marie Körnerová","7","4.2","610","2012"
"Nejlepší víkend","Patrik Hartl","7","3.52","1153","2018"
"Ze života hmyzu","Karel Čapek","7","3.64","367","1921"
"Europeana: A Brief History of the Twentieth Century","Patrik Ouředník","7","4.05","2052","2001"
"Prašina","Vojtěch Matocha","7","3.95","888","2018"
"Muffin a čaj","Theo Addair","7","4.26","1865","nan"
"Boss Babiš","Jaroslav Kmenta","7","4.29","740","2017"
"Losos v kaluži","Markéta Lukášková","7","3.67","935","2017"
"Osudy dobrého vojáka Švejka za světové války, 1. díl – V zázemí","Jaroslav Hašek","7","3.98","785","1921"
"Ke dnu","Anna Bolavá","7","3.99","514","2017"
"Kafe a cigárko","Marie Doležalová","7","3.92","542","nan"
"The Arsonist","Egon Hostovský","7","3.76","135","1935"
"P.S.","Aňa Geislerová","7","3.7","755","2015"
"Dva proti Říši","Jiří Šulc","7","4.74","451","2007"
"Life with a Star","Jiří Weil","7","4.13","639","1949"
"Mapa Anny","Marek Šindelka","7","3.91","1065","2014"
"Magorovy labutí písně","Ivan Martin Jirous","7","3.99","247","1985"
"Zlatí úhoři","Ota Pavel","7","4.28","276","1988"
"Maminka","Jaroslav Seifert","7","3.8","543","1966"
"Ferda mravenec","Ondřej Sekora","7","4.06","321","1936"
"Nový epochální výlet pana Broučka, tentokráte do XV. Století","Svatopluk Čech","7","3.22","287","1888"
"Dům o tisíci patrech","Jan Weiss","7","3.93","495","1929"
"Smuténka","Jan Skácel","7","4.21","317","1965"
"Edison","Vítězslav Nezval","7","3.61","592","1928"
"Glorious Nemesis","Ladislav Klíma","7","4.06","213","1932"
"Povětroň","Karel Čapek","7","3.52","409","1934"
"Postřižiny","Bohumil Hrabal","7","3.88","1654","1974"
"Jacques and His Master: An Homage to Diderot in Three Acts","Milan Kundera","7","3.77","1604","1971"
"Zmizet","Petra Soukupová","7","4.11","1059","2009"
"Neviditelný","Jaroslav Havlíček","7","4.5","361","1937"
"Hordubal","Karel Čapek","7","3.71","882","1933"
"Svatý Xaverius","Jakub Arbes","7","3.37","508","1873"
"Letters from England","Karel Čapek","7","4.05","396","1923"
"Talks with T. G. Masaryk","Karel Čapek","7","4.36","606","1929"
"Three Novels: Hordubal, Meteor, An Ordinary Life","Karel Čapek","7","3.91","408","nan"
"Testaments Betrayed: An Essay in Nine Parts","Milan Kundera","6","4.07","1897","1993"
"Bílá Voda","Kateřina Tučková","6","4.35","712","2022"
"Nasterea","Petra Stehlíková","6","4.19","828","nan"
"Věci, na které nastal čas","Petra Soukupová","6","3.78","1204","2020"
"Chirurg","Petra Dvořáková","6","3.82","995","2019"
"Slepé skvrny","Daniel    Prokop","6","4.51","833","nan"
"Dešťová hůl","Jiří Hájíček","6","4.0","578","2016"
"Osm","Radka Třeštíková","6","3.57","1220","2017"
"The Hideout","Egon Hostovský","6","3.69","163","1943"
"Okamžiky štěstí","Patrik Hartl","6","3.75","1488","nan"
"The Golem","Gustav Meyrink","6","3.85","7135","1915"
"To prší moře","Radka Třeštíková","6","3.7","565","2015"
"Hastrman: Zelený román","Miloš Urban","6","3.74","380","2001"
"Perlička na dně","Bohumil Hrabal","6","3.88","231","1963"
"Rok kohouta","Tereza Boučková","6","3.66","379","2008"
"O letadélku Káněti","Bohumil Říha","6","3.8","93","1957"
"Hřbitovní kvítí","Jan Neruda","6","3.45","177","1857"
"Bronzový poklad","Eduard Štorch","6","3.71","93","1932"
"Zvuk slunečních hodin","Hana Andronikova","6","4.47","563","2001"
"Harlequin's Millions","Bohumil Hrabal","6","3.82","293","1981"
"Strakonický dudák","Josef Kajetán Tyl","6","2.89","512","1847"
"Kuře melancholik","Josef Karel Šlejhar","6","3.77","658","1889"
"Povídky z druhé kapsy","Karel Čapek","6","4.11","640","1929"
"Slavnosti sněženek","Bohumil Hrabal","6","4.14","405","1978"
"Host do domu","Jiří Wolker","6","3.46","220","1921"
"Broučci","Jan Karafiát","6","3.71","241","1876"
"Stínadla se bouří","Jaroslav Foglar","6","4.38","636","1970"
"Lucemburská zahrada","Michal Ajvaz","6","3.47","266","2011"
"Encounter","Milan Kundera","6","3.74","1512","2009"
"Marta v roce vetřelce","Petra Soukupová","6","3.62","453","2011"
"Straka v říši entropie","Markéta Baňková","6","3.4","239","2010"
"Konec punku v Helsinkách","Jaroslav Rudiš","6","4.04","824","2010"
"The Art of the Novel","Milan Kundera","6","3.98","5866","1986"
"Nebe pod Berlínem","Jaroslav Rudiš","6","3.79","707","2002"
"Hoši od Bobří řeky","Jaroslav Foglar","6","4.1","824","1937"
"Stín kapradiny","Josef Čapek","6","3.65","192","1930"
"Stříbrný vítr","Fráňa Šrámek","6","3.28","169","1910"
"Ohlas písní českých","František Ladislav Čelakovský","6","2.65","107","1839"
"Love and Garbage","Ivan Klíma","6","3.66","1368","1986"
"City Sister Silver","Jáchym Topol","6","3.92","326","1994"
"Blue Octavo Notebooks","Franz Kafka","6","4.11","1045","1953"
"Metamorphosis and Other Stories","Franz Kafka","5","3.91","5128","1915"
"Metamorphosis and Other Stories","Franz Kafka","5","3.91","5128","1915"
"Śmierć pięknych saren","Ota Pavel","5","4.13","1484","1978"
"Životice: obraz","Karin Lednická","5","4.3","428","nan"
"Soběstačný","Zuzana Dostálová","5","4.51","533","2020"
"Vztahy a mýty: Párová terapie do kapsy","Jan Vojtko","5","4.24","1103","2020"
"Klub divných dětí","Petra Soukupová","5","4.27","427","2019"
"Cizinec hledá byt","Egon Hostovský","5","3.8","142","1947"
"Teorie podivnosti","Pavla Horáková","5","3.76","811","2018"
"Hodiny z olova","Radka Denemarková","5","4.0","209","2018"
"Veselí","Radka Třeštíková","5","3.45","908","nan"
"Panda v nesnázích","Markéta Lukášková","5","4.05","659","2018"
"Jestem głód","Petra Dvořáková","5","3.62","217","2009"
"The Judgment","Franz Kafka","5","3.72","5528","1912"
"Terapie sdílením: Rozchodové věty","Ester Geislerová","5","3.41","315","2018"
"Šlehačková oblaka","Tereza Salte","5","3.71","498","2017"
"Nezvěstný","Egon Hostovský","5","4.07","91","1948"
"Ptákovina","Milan Kundera","5","3.91","140","1969"
"Cesta na sever","Karel Čapek","5","3.94","218","1936"
"Máslem dolů","Petr Šabach","5","3.72","164","2012"
"Mach a Šebestová","Miloš Macourek","5","4.24","113","1982"
"The Metamorphosis and Other Stories","Franz Kafka","5","4.04","50753","1915"
"Zloději zelených koní","Jiří Hájíček","5","3.73","263","2001"
"Dějiny světla","Jan Němec","5","4.24","513","2013"
"Konec starých časů","Vladislav Vančura","5","3.62","63","1934"
"Jantarové oči","Vilma Kadlečková","5","4.02","686","2013"
"Dobytí severního pólu Čechem Karlem Němcem 5. dubna 1909","Jára Cimrman","5","4.65","377","1993"
"Biomanželka","Michal Viewegh","5","3.07","598","2010"
"Opilé banány","Petr Šabach","5","3.9","326","2001"
"Manon Lescaut","Vítězslav Nezval","5","3.92","695","1831"
"Chata v Jezerní kotlině","Jaroslav Foglar","5","4.12","447","1939"
"Myši Natálie Mooshabrové","Ladislav Fuks","5","4.14","261","1970"
"Říkali mi Leni","Zdenka Bezděková","5","4.06","302","1948"
"Večerní písně","Vítězslav Hálek","5","3.16","116","1859"
"Údolí včel","Vladimír Körner","5","3.83","103","2009"
"Nové mythy","Josef Kainar","5","3.26","53","1946"
"Lovci mamutů","Eduard Štorch","5","3.73","631","1918"
"Rumcajs","Václav Čtvrtek","5","4.18","224","1970"
"Kubula a Kuba Kubikula","Vladislav Vančura","5","3.78","149","1931"
"Epigramy","Karel Havlíček Borovský","5","3.85","137","2004"
"Zapomenuté světlo","Jakub Deml","5","4.09","97","1934"
"Prsatý muž a zloděj příběhů","Josef Formánek","5","3.68","217","2003"
"Milá sedmi loupežníků","Viktor Dyk","5","3.41","120","1906"
"Balady a romance","Jan Neruda","5","3.24","300","1883"
"Básně noci","Vítězslav Nezval","5","3.95","217","1966"
"Severin's Journey into the Dark: A Prague Ghost Story","Paul Leppin","5","3.67","300","1914"
"The Golden Age","Michal Ajvaz","5","3.76","306","2010"
"Een doodgewoon leven","Karel Čapek","5","3.96","577","1924"
"Absolutní hrobař","Vítězslav Nezval","5","4.05","83","1937"
"Možná že odcházíme","Jan Balabán","5","4.13","362","2004"
"Zeptej se táty","Jan Balabán","5","3.95","391","2010"
"The Fateful Adventures of the Good Soldier Svejk During the World War, Book Two","Jaroslav Hašek","5","4.1","592","1923"
"Písně kosmické","Jan Neruda","5","3.77","189","1918"
"Tajemství Velkého Vonta","Jaroslav Foglar","5","4.34","561","1991"
"Apocryphal Tales","Karel Čapek","5","4.03","647","1932"
"Předtucha","Marie Pujmanová","5","2.67","45","1979"
"Lekce tvůrčího psaní","Michal Viewegh","5","3.15","231","2005"
"Hlídač č. 47","Josef Kopta","5","3.59","98","1969"
"The Zürau Aphorisms","Franz Kafka","5","3.72","2873","1931"
"The Curtain: An Essay in Seven Parts","Milan Kundera","5","3.98","2470","2005"
"Waiting for the Dark, Waiting for the Light","Ivan Klíma","5","3.6","486","1993"
"Podobojí","Daniela Hodrová","4","3.75","56","1991"
"Hlas kukačky","Hana Marie Körnerová","4","4.05","332","2018"
"Sběratel sněhu","Jan Štifter","4","4.35","276","2018"
"The End of Procrastination: How to Stop Postponing and Live a Fulfilled Life","Petr Ludwig","4","4.0","2681","2013"
"Doupě","Jakuba Katalpa","4","3.86","322","2017"
"Kámen a bolest","Karel Schulz","4","4.35","185","1942"
"Bez filtru","Kristýna Dolejšová","4","3.87","157","2017"
"Citlivý člověk","Jáchym Topol","4","3.42","210","2017"
"Ovšem","Karel Kovy Kovář","4","4.18","660","nan"
"Deník kastelána","Evžen Boček","4","3.44","499","2008"
"Já už chci domů","J.H. Krchovský","4","4.16","115","nan"
"Pociągi pod specjalnym nadzorem. Postrzyżyny","Bohumil Hrabal","4","4.0","194","2004"
"Meda Mládková - Můj úžasný život","Ondřej Kundra","4","4.24","141","2014"
"Peníze od Hitlera","Radka Denemarková","4","3.99","439","2006"
"Hodina Tance a Lasky: Nemecka Romance","Pavel Kohout","4","4.06","100","1989"
"The Forty Days of Musa Dagh","Franz Werfel","4","4.38","1590","1933"
"Soumrak bohů. Severské mýty a báje","Helena Kadečková","4","4.33","75","1998"
"Kříž u potoka","Karolina Světlá","4","4.04","186","1968"
"Kosmova kronika česká - Chronica Boemorum","Kosmas","4","3.1","88","1125"
"Filosofská historie","Alois Jirásek","4","3.37","211","1877"
"Pád do temnot","Vilma Kadlečková","4","4.09","432","2014"
"The Swell Season: A Text on the Most Important Things in Life","Josef Škvorecký","4","3.98","762","1975"
"Led pod kůží","Vilma Kadlečková","4","4.25","506","2013"
"A Country Doctor","Franz Kafka","4","3.7","4828","1919"
"Under a Cruel Star: A Life in Prague, 1941-1968","Heda Margolius Kovály","4","4.29","2551","1973"
"My Merry Mornings","Ivan Klíma","4","3.7","237","1978"
"Hustej nářez","František Kotleta","4","3.76","747","2010"
"Národní třída","Jaroslav Rudiš","4","3.67","746","2013"
"Grandhotel","Jaroslav Rudiš","4","3.75","465","2006"
"Osada havranů","Eduard Štorch","4","3.92","122","1964"
"Království za story","Petr Šabach","4","2.56","90","2012"
"Tři legendy o krucifixu","Julius Zeyer","4","3.56","163","1999"
"Pravý výlet pana Broučka do měsíce","Svatopluk Čech","4","3.4","129","2008"
"Jak tata przemierzał Afrykę","Ota Pavel","4","3.88","107","1994"
"Pábitelé","Bohumil Hrabal","4","3.77","141","1988"
"Naši furianti","Ladislav Stroupežnický","4","3.38","175","1887"
"Kantůrčice","Karolina Světlá","4","3.5","16","1867"
"Antikódy","Václav Havel","4","4.53","107","1993"
"Kniha lesů, vod a strání","Stanislav Kostka Neumann","4","2.98","87","1950"
"Obrazy ze života mého","Karel Hynek Mácha","4","3.36","36","1834"
"Na vlnách TSF","Jaroslav Seifert","4","3.88","201","1925"
"Dům U tonoucí hvězdy","Julius Zeyer","4","3.71","106","1972"
"Pekař Jan Marhoul","Vladislav Vančura","4","3.22","90","1924"
"Slávy dcera","Ján Kollár","4","2.46","125","1951"
"Rekviem","Jaroslav Durych","4","2.84","67","1930"
"Blues pro bláznivou holku","Václav Hrabě","4","4.49","639","1990"
"Pozdě k ránu","Karel Hlaváček","4","3.61","133","1896"
"Notes from the Gallows","Julius Fučík","4","4.12","611","1945"
"Márinka","Karel Hynek Mácha","4","3.47","202","1834"
"The Unloved: From the Diary of Perla S.","Arnošt Lustig","4","3.96","110","1985"
"Anděl","Jáchym Topol","4","3.7","337","1995"
"Strach nad Bobří řekou","Jaroslav Foglar","4","3.72","258","1990"
"Pohádky","Božena Němcová","4","4.13","167","1934"
"Gaps","Bohumil Hrabal","4","3.95","130","1986"
"Balada z hadrů","Jiří Voskovec","4","3.62","123","nan"
"Letters from Italy","Karel Čapek","4","3.58","126","1923"
"Vybíjená","Michal Viewegh","4","3.54","452","2004"
"Golet v údolí","Ivan Olbracht","4","3.77","114","1959"
"The Garden Party and Other Plays","Václav Havel","4","3.89","478","1994"
"Largo Desolato","Václav Havel","4","3.99","287","1985"
"F. L. Věk: Obraz z dob našeho národního probuzení","Alois Jirásek","3","3.78","213","1931"
"Aristokratka pod palbou lásky","Evžen Boček","3","3.91","154","2022"
"The Metamorphosis and Other Stories","Franz Kafka","3","3.84","3899","nan"
"Byli jsme tu vždycky","Filip Titlbach","3","4.67","551","2022"
"Prázdniny v Česku","Ladislav Zibura","3","4.39","448","nan"
"Neznámá společnost","Pavel Pospěch","3","4.11","217","2021"
"Čarostřelec","Jan Horníček","3","3.41","74","nan"
"All My Cats","Bohumil Hrabal","3","3.62","890","1983"
"Świece w pogańskim gaju. Opowiadania, horrory i etiudy","Jiří Kamen","3","3.31","68","2017"
"Dlouhá trať","Viktorie Hanišová","3","4.09","568","nan"
"Před povodní","Anna Bolavá","3","3.65","227","nan"
"Prašina: Černý merkurit","Vojtěch Matocha","3","4.21","404","2019"
"Boží muka","Karel Čapek","3","3.72","115","nan"
"Hornické vdovy","Kamila Hladká","3","3.94","157","2019"
"Český ráj","Jaroslav Rudiš","3","3.66","518","2018"
"Meta","Pavel Bareš","3","4.57","932","2020"
"Mengeleho dievča","Viola Stern Fischerová","3","4.66","1853","2016"
"Praskliny","Klára Vlasáková","3","3.49","327","2020"
"Plachetnice na vinětách","Jiří Hájíček","3","3.49","481","2020"
"Foukneš do pěny","Radka Třeštíková","3","3.05","466","2020"
"Krvavý Bronx","Martin Reiner","3","3.48","116","2020"
"Nebe nad Jemenem","Tomáš Šebek","3","4.37","303","2019"
"Lvářka","Tereza Janišová","3","3.83","47","2019"
"Behind the Lines: Bugulma and Other Stories","Jaroslav Hašek","3","3.81","98","1921"
"Zmizení Sáry Lindertové","Kateřina Šardická","3","4.2","786","2019"
"Ohnice","Jiří Orten","3","3.95","59","2006"
"Rudý Zeman","Jaroslav Kmenta","3","4.19","357","2019"
"InTyMně","Markéta Lukášková","3","3.56","357","2019"
"Autismus & Chardonnay","Martin Selner","3","4.42","837","2017"
"Autismus & Chardonnay 2: Pozdní sběr","Martin Selner","3","4.58","434","2019"
"Tapetář","Ema Labudová","3","3.15","169","2019"
"A Gothic Soul","Jiří Karásek ze Lvovic","3","3.74","122","1900"
"Žít jako single","Petra Soukupová","3","2.98","115","2019"
"Cirkus Humberto","Eduard Bass","3","4.09","206","1941"
"Nevyžádané rady mládeži","Marek Vácha","3","4.43","366","nan"
"Mezi dvěma Kimy","Nina Špitálníková","3","3.88","655","2017"
"Tři vánoční povídky","Petr Šabach","3","3.08","59","2007"
"Vzpomínky na jednu vesnickou tancovačku","Jiří Hájíček","3","3.79","204","2014"
"The Questionnaire","Jiří Gruša","3","3.53","116","1975"
"Život a dílo skladatele Foltýna","Karel Čapek","3","4.02","240","1939"
"Černooká","Anna Musilová","3","3.82","476","2018"
"Malinka","Dita Táborská","3","4.12","365","nan"
"Życie bez smokingu","Bohumil Hrabal","3","3.83","41","1986"
"Únava materiálu","Marek Šindelka","3","3.66","849","2016"
"Básník: román o Ivanu Blatném","Martin Reiner","3","4.37","154","2014"
"Příspěvek k dějinám radosti","Radka Denemarková","3","3.63","210","2014"
"Prague, I See a City...","Daniela Hodrová","3","3.59","39","2011"
"Točité věty","Daniela Hodrová","3","3.75","8","2015"
"Dobrodružství v Zemi nikoho","Jaroslav Foglar","3","4.18","157","1995"
"Poklad Černého delfína","Jaroslav Foglar","3","3.63","104","1966"
"Dvojité dno","J.H. Krchovský","3","4.22","100","2010"
"HHhH","Laurent Binet","3","4.05","23858","2010"
"Všichni žijem' v blázinci","Renata Červenková","3","4.31","249","2014"
"Sítě","Petra Dvořáková","3","3.98","369","2016"
"The Maimed","Hermann Ungar","3","3.86","726","1922"
"Deníček moderního fotra","Dominik Landsman","3","3.61","495","2014"
"Krabice živých","Norbert Frýd","3","4.16","45","1985"
"České nebe","Jára Cimrman","3","4.66","178","2009"
"Opráski sčeskí historje 4. Zborňík vjedeckíhc příspjefkú g hiztorji čezkího nárotu","Jaz","3","4.25","48","2015"
"Deset let s Václavem Havlem","Ladislav Špaček","3","4.5","114","2012"
"Nové povídky","Zdeněk Svěrák","3","4.15","268","2011"
"Povídky","Zdeněk Svěrák","3","3.93","260","2008"
"Amatéři aneb Jak svět přichází o básníky","Ladislav Pecháček","3","4.17","12","2010"
"Adelheid","Vladimír Körner","3","3.75","148","1967"
"Má rodina a jiná zemětřesení","Ivan Kraus","3","4.44","72","1998"
"Una scrittura femminile azzurro pallido","Franz Werfel","3","3.69","1464","1941"
"Jednooký král: Václav I.","Vlastimil Vondruška","3","4.55","273","2012"
"Velký král: Přemysl I. Otakar","Vlastimil Vondruška","3","4.37","349","2011"
"Zahrada","Jiří Trnka","3","4.53","126","1962"
"Vidění","Vilma Kadlečková","3","4.22","375","2014"
"F. L. Věk V.","Alois Jirásek","3","3.89","28","1954"
"F. L. Věk III.","Alois Jirásek","3","3.86","35","1954"
"Msta písecké panny","Vlastimil Vondruška","3","3.32","165","2013"
