"Title","Author","Shelved","Avg. Rating","Ratings","Year"
"The Unbearable Lightness of Being","Milan Kundera","218","4.11","418372","1984"
"The Trial","Franz Kafka","88","3.96","285739","1925"
"The Metamorphosis","Franz Kafka","77","3.84","886002","1915"
"Closely Watched Trains","Bohumil Hrabal","74","3.78","9321","1965"
"The Joke","Milan Kundera","67","4.02","32074","1967"
"War with the Newts","Karel Čapek","64","4.17","12321","1936"
"Laughable Loves","Milan Kundera","59","3.86","28919","1970"
"The Book of Laughter and Forgetting","Milan Kundera","58","3.97","45802","1979"
"The Good Soldier Švejk","Jaroslav Hašek","55","4.1","17655","1921"
"Immortality","Milan Kundera","55","4.14","35520","1990"
"R.U.R.","Karel Čapek","55","3.83","12384","1920"
"Too Loud a Solitude","Bohumil Hrabal","50","4.0","20324","1976"
"I Served the King of England","Bohumil Hrabal","49","4.08","8348","1971"
"Kytice","Karel Jaromír Erben","45","4.0","7049","1853"
"May","Karel Hynek Mácha","45","3.46","4616","1836"
"Krysař","Viktor Dyk","41","3.74","5355","1911"
"Saturnin","Zdeněk Jirotka","41","4.41","5479","1942"
"The White Disease","Karel Čapek","40","4.28","5134","1936"
"The Castle","Franz Kafka","40","3.94","55482","1926"
"Spalovač mrtvol","Ladislav Fuks","38","4.09","4078","1967"
"Ignorance","Milan Kundera","35","3.8","21532","2000"
"The Last Goddess","Kateřina Tučková","34","4.04","6132","2012"
"Smrt krásných srnců","Ota Pavel","30","4.15","2778","1971"
"Life is Elsewhere","Milan Kundera","30","3.96","17669","1973"
"Prague Tales","Jan Neruda","29","3.47","2331","1877"
"Farewell Waltz","Milan Kundera","28","3.86","15400","1972"
"The Grandmother","Božena Němcová","27","3.34","2284","1957"
"Slowness","Milan Kundera","26","3.63","17824","1995"
"Hana","Alena Mornštajnová","25","4.69","7638","2017"
"Dášeňka, čili život štěněte","Karel Čapek","25","4.2","2069","1933"
"Identity","Milan Kundera","24","3.69","24928","1997"
"A Prayer for Katerina Horovitzova","Arnošt Lustig","23","3.89","1619","1964"
"The Cowards","Josef Škvorecký","22","3.91","1178","1958"
"Báječná léta pod psa","Michal Viewegh","22","3.79","2388","1992"
"Poslední aristokratka","Evžen Boček","21","3.85","3393","2012"
"The Engineer of Human Souls","Josef Škvorecký","21","4.16","964","1977"
"Markéta Lazarová","Vladislav Vančura","20","3.46","883","1931"
"Romeo, Julie a tma","Jan Otčenášek","20","3.98","2634","1956"
"Amerika","Franz Kafka","20","3.74","26927","1927"
"Wrony","Petra Dvořáková","19","4.43","12955","2020"
"Hrdý Budžes","Irena Dousková","19","4.34","1710","1998"
"Letter to His Father","Franz Kafka","19","3.96","24902","1919"
"Bylo nás pět","Karel Poláček","19","3.65","2055","1963"
"Dancing Lessons for the Advanced in Age","Bohumil Hrabal","19","3.64","1969","1964"
"Maryša","Alois Mrštík","18","3.45","1735","1894"
"Tiché roky","Alena Mornštajnová","17","4.36","3120","2019"
"The Absolute at Large","Karel Čapek","17","3.85","2413","1920"
"Šikmý kostel: románová kronika ztraceného města","Karin Lednická","16","4.54","2512","2020"
"Do tmy","Anna Bolavá","16","4.03","1040","2015"
"Jozova Hanule","Květa Legátová","16","4.34","891","2002"
"Staré řecké báje a pověsti","Eduard Petiška","16","4.05","1786","1958"
"Kladivo na čarodějnice","Václav Kaplický","16","4.33","793","1963"
"Listopád","Alena Mornštajnová","15","4.23","2546","2021"
"All This Belongs to Me","Petra Hůlová","15","3.86","635","2001"
"Pěšky mezi buddhisty a komunisty","Ladislav Zibura","15","4.16","1615","2016"
"Valerie and Her Week of Wonders","Vítězslav Nezval","15","3.85","1065","1945"
"The Sufferings of Prince Sternenhoch","Ladislav Klíma","15","3.81","822","1928"
"Rozmarné léto","Vladislav Vančura","15","3.25","1275","1926"
"Gerta","Kateřina Tučková","14","3.95","6339","2009"
"40 dní pěšky do Jeruzaléma","Ladislav Zibura","14","4.19","1711","2015"
